Tamaño,Grupo,Requisitos,Funcional,Técnico,Construcción,Pruebas,Implantación
PEQUEÑO,Host,0.1,0.1,0.15,0.4,0.15,0.03
PEQUEÑO,Windows,0.1,0.1,0.1,0.47,0.15,0.01
PEQUEÑO,Java,0.1,0.1,0.1,0.47,0.15,0.01
PEQUEÑO,Ambar,0.1,0.25,0.15,0.2,0.15,0.08
PEQUEÑO,DataWareHouse,0.1,0.12,0.18,0.32,0.2,0.01
PEQUEÑO,PIB,0.1,0.3,0.3,0.17,0.05,0.01
PEQUEÑO,SAP,0.1,0.1,0.1,0.45,0.15,0.03
MEDIANO,Host,0.1,0.11,0.14,0.4,0.15,0.03
MEDIANO,Windows,0.1,0.11,0.09,0.47,0.15,0.01
MEDIANO,Java,0.1,0.11,0.09,0.47,0.15,0.01
MEDIANO,Ambar,0.1,0.25,0.15,0.2,0.15,0.08
MEDIANO,DataWareHouse,0.1,0.15,0.15,0.32,0.2,0.01
MEDIANO,PIB,0.1,0.3,0.3,0.17,0.05,0.01
MEDIANO,SAP,0.1,0.11,0.1,0.44,0.15,0.03
GRANDE,Host,0.1,0.12,0.14,0.39,0.15,0.03
GRANDE,Windows,0.1,0.12,0.09,0.46,0.15,0.01
GRANDE,Java,0.1,0.12,0.09,0.46,0.15,0.01
GRANDE,Ambar,0.1,0.25,0.15,0.2,0.15,0.08
GRANDE,DataWareHouse,0.1,0.16,0.16,0.3,0.2,0.01
GRANDE,PIB,0.1,0.3,0.3,0.17,0.05,0.01
GRANDE,SAP,0.1,0.12,0.1,0.43,0.15,0.03
